model,comparison,image_key,excluded_stage,reason
surya,run_1_to_run_2,val/4/233/13,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/14,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/15,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/16,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/17,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/18,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/19,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/2,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/20,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/21,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/22,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/3,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/4,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/5,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/6,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/7,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/8,run_1,missing run_1 record
surya,run_1_to_run_2,val/4/233/9,run_1,missing run_1 record
